unidade,mes,tipo_exame,pacientes_dia,exames_realizados,turno_mais_movimentado,temp_medio_exame,protocolo_emergencia,direcao_centrifuga,quantidade_refrigeradores,alinhamento_refrigeradores,cor_parede_laboratorio,cor_parede_coleta,aromatizador_eucalipto,cheiro_ambiente,musica_ambiente,cor_jaleco_funcionario,elemento_decorativo,janela_virada_para,hora_inicio_turno,cpf_biomedico,mes_nascimento_biomedico,dia_fechamento,chefe_setor,tipo_refrigeracao,tempo_entrega_resultado
Unidade F,fev/2024,covid,44,79,tarde,16.8,não,leste,4,lado_a_lado,verde,roxa,não,café,rock,vinho,cacto,oeste,8,26468820343,jun,16,José,climatizada,29.68
Unidade A,set/2025,sangue,57,34,noite,18.2,sim,sul,3,em_L,vinho,azul_cobalto,não,café,jazz,azul_bebe,nenhum,leste,8,60998863444,mai,10,José,controlada,34.46
Unidade E,dez/2024,alergia,48,47,manhã,15.0,não,oeste,2,dispersos,vinho,azul_cobalto,não,nenhum,jazz,verde_limao,cacto,oeste,8,96127359086,ago,20,Nina,climatizada,40.12
Unidade B,dez/2025,covid,42,62,noite,15.0,não,leste,4,em_L,vinho,branca,não,nenhum,nenhuma,branco,samambaia,oeste,7,77341821344,mai,23,Marcos,seca,28.24
Unidade B,out/2024,alergia,51,80,noite,17.5,não,sul,2,em_L,laranja,azul_cobalto,não,nenhum,nenhuma,branco,nenhum,norte,7,84303521149,set,2,Carlos,umida,47.17
Unidade D,mai/2025,genético,60,56,tarde,17.3,não,norte,4,dispersos,branca,laranja,não,eucalipto,rock,verde_limao,vaso_bambu,norte,9,82107952646,abr,5,Eduardo,umida,43.95
Unidade F,jul/2025,urina,53,54,noite,14.6,não,norte,2,dispersos,cinza,branca,não,lavanda,rock,verde_limao,cacto,leste,12,30322621543,mai,17,Ana,climatizada,20.36
Unidade D,mar/2025,sangue,66,72,manhã,15.2,não,oeste,1,dispersos,azul_cobalto,branca,não,eucalipto,nenhuma,verde_limao,nenhum,nenhuma,11,31401754009,jun,12,Bianca,climatizada,24.45
Unidade C,mai/2024,hormonal,49,62,manhã,11.0,não,leste,2,lado_a_lado,amarela,laranja,não,café,nenhuma,verde_limao,nenhum,norte,10,50515685438,set,20,Julia,umida,29.17
Unidade B,set/2025,alergia,42,63,manhã,13.0,não,leste,1,dispersos,azul,amarela,não,eucalipto,nenhuma,verde_limao,cacto,nenhuma,8,92920134266,dez,27,Carlos,seca,38.82
Unidade C,dez/2025,sangue,48,70,tarde,16.3,,leste,4,dispersos,laranja,verde,não,café,pagode_90s,vinho,vaso_bambu,oeste,7,60432210695,set,23,Bianca,umida,24.77
Unidade E,jul/2024,genético,49,41,manhã,15.2,não,oeste,4,dispersos,cinza,branca,sim,lavanda,jazz,vinho,samambaia,sul,12,62364805666,nov,9,Bianca,climatizada,38.5
Unidade E,set/2024,sangue,63,72,noite,,não,oeste,4,dispersos,azul,branca,não,café,rock,verde_limao,cacto,leste,6,54004685926,mar,7,Carlos,climatizada,30.8
Unidade C,out/2025,,44,58,manhã,16.3,sim,sul,3,lado_a_lado,amarela,azul_cobalto,não,café,rock,azul_bebe,nenhum,nenhuma,8,74878035085,out,17,1234,climatizada,49.82
Unidade C,jun/2025,covid,50,57,tarde,23.7,não,norte,3,dispersos,verde,branca,não,nenhum,rock,azul_bebe,nenhum,leste,5,80452236858,ago,4,Marcos,seca,28.36
Unidade F,ago/2025,imagem,46,40,noite,18.0,não,leste,3,dispersos,branca,laranja,não,eucalipto,rock,branco,samambaia,norte,7,64843142828,ago,8,Bianca,seca,34.42
Unidade F,mai/2024,alergia,48,60,manhã,16.0,sim,oeste,3,em_L,cinza,azul_cobalto,não,eucalipto,jazz,verde_limao,vaso_bambu,leste,11,94298053403,jan,11,1234,controlada,46.86
Unidade C,nov/2024,,37,54,tarde,15.7,não,sul,1,em_L,amarela,verde,não,lavanda,jazz,branco,vaso_bambu,leste,8,97168237934,mai,25,Bianca,climatizada,33.17
Unidade E,set/2024,urina,56,45,manhã,12.1,não,oeste,1,em_L,verde,roxa,não,lavanda,nenhuma,azul_bebe,nenhum,sul,11,19687704167,abr,21,José,climatizada,20.93
Unidade E,ago/2024,hormonal,53,58,tarde,17.2,não,oeste,1,lado_a_lado,amarela,azul_cobalto,não,nenhum,rock,vinho,samambaia,nenhuma,11,78918770360,set,25,Marcos,climatizada,29.86
Unidade B,mai/2025,sangue,60,55,manhã,15.1,sim,norte,3,dispersos,azul,amarela,não,lavanda,nenhuma,verde_limao,nenhum,sul,11,72082608695,set,8,Bianca,seca,30.19
Unidade F,jun/2025,imagem,53,63,tarde,13.2,não,sul,1,lado_a_lado,verde,laranja,não,lavanda,pagode_90s,verde_limao,nenhum,nenhuma,8,92834682958,mai,15,Ana,seca,38.26
Unidade F,out/2024,hormonal,44,50,tarde,15.7,não,norte,1,dispersos,laranja,laranja,sim,café,nenhuma,branco,cacto,oeste,11,19718272557,fev,3,Marcos,controlada,32.22
Unidade E,mar/2025,sangue,67,55,noite,20.3,sim,norte,3,dispersos,vinho,roxa,não,café,nenhuma,verde_limao,vaso_bambu,norte,12,38765278525,abr,31,Julia,umida,35.53
Unidade E,ago/2025,,51,70,manhã,23.9,sim,leste,3,em_L,laranja,branca,não,eucalipto,rock,azul_bebe,vaso_bambu,nenhuma,10,77080154194,jul,28,Nina,umida,31.73
Unidade B,mar/2025,covid,46,43,noite,16.9,não,sul,1,em_L,cinza,branca,não,café,pagode_90s,vinho,cacto,sul,10,56548996037,out,22,Carlos,seca,25.94
Unidade F,fev/2025,urina,51,74,noite,,não,sul,2,lado_a_lado,azul,amarela,não,nenhum,rock,vinho,nenhum,leste,7,99732774757,ago,9,Marcos,umida,25.55
Unidade E,jan/2024,,57,75,manhã,14.3,sim,norte,4,em_L,verde,azul_cobalto,não,nenhum,nenhuma,branco,nenhum,norte,10,35698577733,set,11,Carlos,controlada,51.22
Unidade A,ago/2024,,55,52,tarde,21.7,não,sul,4,lado_a_lado,azul,verde,sim,café,nenhuma,branco,cacto,oeste,10,22094807169,abr,11,Carlos,climatizada,28.35
Unidade A,out/2025,covid,55,75,tarde,23.2,não,oeste,4,dispersos,cinza,branca,não,eucalipto,rock,verde_limao,samambaia,oeste,6,56988115243,mai,7,Bianca,seca,27.24
Unidade F,dez/2024,hormonal,34,58,manhã,11.1,não,sul,2,em_L,amarela,laranja,não,lavanda,rock,branco,nenhum,nenhuma,5,86312055759,mai,29,Eduardo,seca,29.44
Unidade A,mar/2024,covid,46,63,tarde,18.5,não,leste,3,dispersos,cinza,amarela,sim,eucalipto,nenhuma,azul_bebe,cacto,sul,12,92566949423,dez,5,Nina,seca,25.45
Unidade C,nov/2024,urina,56,72,tarde,14.2,não,leste,1,dispersos,branca,roxa,não,café,jazz,verde_limao,nenhum,leste,9,72847062912,jul,28,Marcos,climatizada,22.58
Unidade A,set/2024,urina,40,63,noite,25.2,não,sul,4,dispersos,cinza,verde,não,lavanda,jazz,branco,samambaia,nenhuma,8,43485235503,dez,12,Julia,controlada,25.59
Unidade B,jan/2025,urina,62,47,tarde,20.4,não,leste,1,dispersos,cinza,roxa,não,eucalipto,jazz,vinho,samambaia,sul,11,83782454378,mai,15,Julia,climatizada,23.04
Unidade F,jul/2024,hormonal,66,44,tarde,,sim,sul,2,lado_a_lado,laranja,azul_cobalto,não,café,rock,branco,nenhum,nenhuma,5,66100493866,abr,1,1234,climatizada,34.61
Unidade F,out/2024,urina,38,45,manhã,-22.2,não,oeste,4,lado_a_lado,azul_cobalto,amarela,sim,eucalipto,nenhuma,branco,nenhum,oeste,8,43137572717,abr,30,Nina,controlada,23.7
Unidade C,jun/2025,alergia,53,57,manhã,19.4,não,oeste,1,lado_a_lado,azul,amarela,não,café,nenhuma,azul_bebe,nenhum,leste,11,23297118196,mai,20,Marcos,seca,38.44
Unidade B,set/2024,genético,42,51,tarde,17.7,não,leste,1,dispersos,verde,laranja,não,nenhum,nenhuma,vinho,nenhum,oeste,11,73194254736,jan,11,Nina,seca,48.31
Unidade A,jan/2024,sangue,37,38,tarde,,não,norte,4,dispersos,verde,branca,não,lavanda,nenhuma,verde_limao,vaso_bambu,leste,6,57785509476,ago,26,José,seca,27.34
Unidade C,jul/2024,covid,49,82,manhã,15.2,sim,norte,4,dispersos,azul_cobalto,roxa,sim,nenhum,rock,vinho,cacto,norte,6,60747121859,nov,20,Ana,seca,31.54
Unidade F,jan/2024,urina,56,42,noite,22.6,não,sul,4,dispersos,verde,roxa,sim,lavanda,rock,branco,cacto,nenhuma,5,43038830789,dez,24,Ana,controlada,28.48
Unidade E,jul/2024,urina,59,37,tarde,12.4,não,oeste,3,em_L,cinza,branca,não,café,rock,vinho,nenhum,nenhuma,7,98926106317,out,28,José,seca,21.84
Unidade A,out/2025,sangue,56,65,tarde,15.8,não,oeste,1,dispersos,amarela,verde,não,lavanda,nenhuma,vinho,vaso_bambu,norte,5,37484803990,ago,22,1234,climatizada,22.23
Unidade D,jun/2025,hormonal,46,55,manhã,14.8,não,sul,1,lado_a_lado,verde,verde,não,café,jazz,branco,cacto,leste,12,62520591299,dez,11,Bianca,controlada,27.56
Unidade C,jan/2024,urina,44,78,noite,17.9,sim,norte,1,dispersos,branca,azul_cobalto,não,eucalipto,pagode_90s,azul_bebe,samambaia,norte,8,23879020863,nov,4,1234,seca,30.66
Unidade A,abr/2025,hormonal,57,57,tarde,18.7,não,sul,1,lado_a_lado,cinza,laranja,não,eucalipto,jazz,verde_limao,vaso_bambu,leste,10,78422442869,mar,25,Nina,controlada,29.79
Unidade B,jan/2024,,46,69,tarde,9.7,não,leste,4,dispersos,amarela,branca,sim,nenhum,rock,branco,vaso_bambu,nenhuma,10,91639203071,jul,2,José,climatizada,37.23
Unidade E,jul/2024,imagem,62,73,manhã,17.7,não,oeste,2,lado_a_lado,laranja,amarela,não,café,nenhuma,verde_limao,vaso_bambu,oeste,6,85938238030,jul,29,Nina,controlada,33.31
Unidade E,jul/2024,alergia,52,72,manhã,16.3,não,norte,2,lado_a_lado,azul,azul_cobalto,não,lavanda,nenhuma,azul_bebe,cacto,nenhuma,5,73964039707,dez,22,Bianca,controlada,41.92
Unidade E,set/2024,urina,51,39,tarde,15.8,não,oeste,1,em_L,branca,roxa,não,eucalipto,jazz,verde_limao,cacto,nenhuma,7,91764496669,fev,3,Nina,umida,18.44
Unidade D,set/2025,covid,46,49,manhã,15.6,não,leste,4,dispersos,laranja,verde,não,eucalipto,nenhuma,vinho,cacto,sul,6,86017330138,jan,13,Carlos,climatizada,20.87
Unidade D,mar/2025,covid,41,73,tarde,21.3,,norte,4,dispersos,laranja,verde,sim,café,nenhuma,azul_bebe,samambaia,leste,8,34221382780,jul,13,Julia,umida,35.35
Unidade D,jul/2025,genético,62,51,tarde,21.4,não,leste,4,lado_a_lado,azul_cobalto,roxa,sim,café,rock,azul_bebe,samambaia,sul,6,67735673981,fev,5,1234,controlada,46.64
Unidade D,jun/2024,??!!##,57,50,noite,22.5,não,norte,2,lado_a_lado,azul_cobalto,laranja,não,eucalipto,rock,branco,samambaia,leste,9,79279360407,abr,31,Julia,seca,34.39
Unidade E,jul/2024,urina,34,68,manhã,12.3,,norte,2,em_L,verde,amarela,não,nenhum,pagode_90s,branco,samambaia,leste,12,95663175766,mar,1,Carlos,climatizada,19.89
Unidade D,mar/2024,sangue,45,64,noite,19.8,não,norte,3,dispersos,cinza,azul_cobalto,não,nenhum,rock,branco,samambaia,sul,10,54388192876,jan,3,Carlos,umida,24.51
Unidade A,ago/2025,covid,37,58,manhã,,não,norte,3,dispersos,vinho,amarela,não,nenhum,rock,verde_limao,vaso_bambu,sul,8,51532997948,ago,29,Bianca,controlada,21.91
Unidade E,abr/2025,covid,52,61,tarde,11.8,não,norte,4,lado_a_lado,grafite,amarela,não,eucalipto,jazz,azul_bebe,nenhum,sul,10,91508829267,dez,7,Julia,umida,23.06
Unidade E,mai/2024,urina,57,57,noite,13.4,sim,sul,1,em_L,vinho,amarela,não,eucalipto,nenhuma,azul_bebe,samambaia,nenhuma,7,45618144942,abr,12,Julia,umida,31.88
Unidade B,dez/2025,urina,50,47,manhã,,,norte,2,lado_a_lado,laranja,roxa,sim,nenhum,nenhuma,azul_bebe,vaso_bambu,oeste,7,40209987439,out,28,Julia,controlada,19.11
Unidade E,ago/2025,urina,42,63,manhã,24.1,não,leste,1,lado_a_lado,grafite,amarela,sim,café,nenhuma,branco,vaso_bambu,sul,5,73001655856,jul,5,Carlos,umida,23.42
Unidade F,mai/2024,hormonal,41,66,noite,17.6,não,sul,3,em_L,amarela,amarela,não,lavanda,nenhuma,vinho,samambaia,leste,7,19145855866,jun,24,Julia,controlada,33.47
Unidade B,jan/2025,imagem,44,63,tarde,14.3,não,oeste,4,dispersos,cinza,roxa,sim,café,nenhuma,branco,vaso_bambu,oeste,11,54667094220,out,11,1234,umida,36.08
Unidade C,jul/2025,imagem,62,57,tarde,21.6,não,leste,4,em_L,branca,amarela,não,lavanda,rock,verde_limao,vaso_bambu,nenhuma,8,53839221046,set,9,Ana,climatizada,41.33
Unidade A,set/2024,sangue,47,61,tarde,12.4,não,leste,1,em_L,grafite,azul_cobalto,não,nenhum,jazz,branco,cacto,leste,7,72354796805,mar,14,Nina,climatizada,20.8
Unidade A,jul/2025,urina,48,53,tarde,14.8,não,leste,1,lado_a_lado,verde,laranja,não,eucalipto,nenhuma,branco,vaso_bambu,nenhuma,11,63886147055,abr,18,Eduardo,controlada,22.44
Unidade F,ago/2025,,55,67,tarde,22.3,sim,sul,3,lado_a_lado,verde,azul_cobalto,não,café,nenhuma,vinho,cacto,sul,8,98586401496,dez,21,Bianca,umida,46.85
Unidade B,jan/2025,covid,57,52,manhã,14.1,não,norte,3,em_L,grafite,roxa,não,eucalipto,jazz,branco,nenhum,sul,12,20655958607,jul,25,Ana,umida,26.96
Unidade B,mai/2024,hormonal,34,56,tarde,19.5,sim,leste,1,dispersos,vinho,laranja,não,nenhum,nenhuma,verde_limao,vaso_bambu,nenhuma,9,25996797371,dez,28,José,climatizada,40.79
Unidade E,fev/2024,sangue,57,61,tarde,17.6,não,norte,1,dispersos,amarela,roxa,não,lavanda,nenhuma,azul_bebe,vaso_bambu,nenhuma,6,12008857308,out,18,Carlos,umida,24.89
Unidade C,ago/2025,sangue,54,64,tarde,17.4,,sul,2,lado_a_lado,amarela,laranja,não,nenhum,jazz,verde_limao,cacto,nenhuma,10,87053424709,jan,14,Bianca,climatizada,34.32
Unidade E,mai/2024,urina,43,54,tarde,,não,leste,3,em_L,amarela,amarela,não,nenhum,nenhuma,verde_limao,vaso_bambu,oeste,11,90536468521,mar,3,Nina,umida,22.07
Unidade E,jul/2024,hormonal,36,68,manhã,16.8,não,leste,1,dispersos,amarela,branca,não,nenhum,jazz,vinho,samambaia,sul,7,31892055707,out,25,1234,seca,28.85
Unidade D,jan/2024,sangue,60,59,manhã,19.8,não,leste,3,dispersos,azul,laranja,sim,lavanda,jazz,vinho,vaso_bambu,nenhuma,5,92596630302,jan,22,Eduardo,controlada,20.9
Unidade F,jun/2025,urina,54,50,tarde,12.3,não,leste,2,lado_a_lado,laranja,azul_cobalto,não,café,rock,vinho,samambaia,nenhuma,5,78261957832,dez,18,Marcos,umida,21.18
Unidade C,set/2024,imagem,54,53,tarde,17.4,não,leste,1,lado_a_lado,azul,roxa,não,lavanda,jazz,vinho,nenhum,nenhuma,8,29118317094,set,30,Julia,climatizada,33.56
Unidade A,abr/2025,genético,61,66,manhã,17.0,não,sul,3,dispersos,branca,roxa,não,café,rock,vinho,vaso_bambu,leste,12,95003448107,jan,16,Eduardo,controlada,43.65
Unidade D,jul/2024,alergia,59,30,noite,23.3,,sul,1,em_L,amarela,roxa,não,nenhum,rock,vinho,nenhum,oeste,11,19675315061,ago,1,1234,seca,56.38
Unidade A,dez/2025,hormonal,53,66,noite,,não,leste,1,dispersos,vinho,branca,sim,eucalipto,nenhuma,azul_bebe,nenhum,norte,5,66807667218,nov,2,Bianca,seca,36.25
Unidade D,mar/2024,alergia,63,51,tarde,16.7,não,norte,3,em_L,laranja,laranja,não,lavanda,pagode_90s,verde_limao,cacto,norte,8,38772589763,jan,14,1234,controlada,43.32
Unidade D,mai/2025,hormonal,46,55,manhã,21.1,não,leste,2,em_L,grafite,roxa,não,café,rock,azul_bebe,vaso_bambu,nenhuma,10,91425316107,nov,7,José,climatizada,38.63
Unidade F,jan/2024,urina,48,38,tarde,19.0,não,sul,1,lado_a_lado,verde,amarela,não,lavanda,rock,branco,nenhum,norte,5,33108559530,mar,11,1234,umida,21.6
Unidade A,fev/2025,covid,50,38,manhã,13.3,não,leste,1,lado_a_lado,azul,verde,não,eucalipto,nenhuma,branco,vaso_bambu,norte,12,56758343592,jun,17,Bianca,climatizada,23.14
Unidade A,mai/2025,sangue,52,61,manhã,18.1,,oeste,1,dispersos,branca,azul_cobalto,não,eucalipto,jazz,verde_limao,cacto,sul,10,81915688613,mai,19,Carlos,umida,29.27
Unidade F,abr/2025,imagem,48,76,tarde,18.1,não,norte,1,em_L,laranja,amarela,não,café,nenhuma,branco,nenhum,norte,8,82917416983,jan,17,Eduardo,controlada,33.28
Unidade D,jan/2024,hormonal,49,43,manhã,23.3,não,norte,2,dispersos,branca,azul_cobalto,não,café,jazz,branco,cacto,oeste,12,67805797393,nov,26,Ana,umida,33.76
Unidade A,out/2024,,52,63,manhã,21.8,não,oeste,1,lado_a_lado,amarela,laranja,não,café,rock,vinho,cacto,norte,10,36222609017,ago,5,Julia,seca,23.71
Unidade F,out/2025,imagem,43,56,manhã,,sim,oeste,2,lado_a_lado,laranja,branca,não,lavanda,jazz,azul_bebe,vaso_bambu,leste,7,84636010168,jan,28,Bianca,umida,45.56
Unidade F,fev/2024,urina,56,64,tarde,17.6,não,leste,3,em_L,cinza,branca,não,nenhum,jazz,verde_limao,vaso_bambu,norte,6,88835906162,jul,6,Eduardo,seca,24.75
Unidade A,nov/2025,,39,58,noite,13.7,não,leste,4,dispersos,vinho,branca,não,café,jazz,verde_limao,cacto,norte,7,40060287567,out,17,Eduardo,umida,25.9
Unidade F,out/2025,genético,47,63,tarde,18.6,não,leste,1,em_L,amarela,laranja,sim,eucalipto,rock,verde_limao,vaso_bambu,leste,11,99090324675,set,30,1234,controlada,47.3
Unidade A,mar/2025,,51,73,manhã,25.3,não,oeste,1,em_L,vinho,roxa,não,café,nenhuma,azul_bebe,cacto,oeste,11,55624698503,dez,1,Eduardo,umida,42.4
Unidade D,jan/2024,imagem,60,69,manhã,22.7,não,sul,2,lado_a_lado,vinho,laranja,não,café,jazz,azul_bebe,cacto,oeste,8,82178049507,jan,6,Carlos,seca,40.95
Unidade B,jan/2025,covid,65,81,tarde,21.6,não,leste,4,lado_a_lado,laranja,azul_cobalto,não,eucalipto,nenhuma,azul_bebe,vaso_bambu,sul,8,57624804945,jun,14,Marcos,climatizada,33.04
Unidade D,jan/2024,urina,46,66,tarde,11.4,não,leste,3,dispersos,azul_cobalto,laranja,sim,nenhum,nenhuma,branco,vaso_bambu,oeste,10,76132066076,set,20,Bianca,seca,19.31
Unidade D,ago/2025,sangue,51,42,manhã,12.7,não,norte,2,em_L,azul_cobalto,azul_cobalto,não,lavanda,nenhuma,verde_limao,samambaia,nenhuma,11,41337903645,out,7,1234,climatizada,15.01
Unidade E,ago/2025,covid,63,59,manhã,22.3,não,norte,1,em_L,azul,branca,não,lavanda,pagode_90s,verde_limao,vaso_bambu,oeste,7,41979317261,jul,21,Carlos,climatizada,23.4
Unidade F,mai/2024,imagem,54,43,tarde,16.8,não,norte,3,em_L,amarela,laranja,não,lavanda,rock,azul_bebe,cacto,leste,11,31736502691,out,25,Julia,seca,36.99
Unidade B,ago/2024,,47,45,tarde,21.4,não,sul,1,dispersos,azul,branca,não,lavanda,rock,verde_limao,cacto,norte,12,25336346916,mai,29,Carlos,umida,46.26
Unidade C,fev/2024,,69,66,tarde,15.7,não,sul,2,em_L,verde,azul_cobalto,não,nenhum,jazz,azul_bebe,nenhum,oeste,8,17751891713,ago,21,José,controlada,47.52
Unidade F,dez/2025,urina,65,43,tarde,14.9,não,oeste,4,em_L,grafite,roxa,não,eucalipto,rock,verde_limao,nenhum,nenhuma,6,94021141933,out,6,Julia,controlada,25.76
Unidade D,nov/2025,sangue,44,62,tarde,16.7,não,oeste,4,lado_a_lado,vinho,azul_cobalto,não,lavanda,rock,vinho,samambaia,leste,9,48932268283,jun,7,José,seca,25.93
Unidade B,mai/2025,covid,50,38,tarde,15.2,não,sul,3,dispersos,laranja,verde,não,eucalipto,jazz,vinho,vaso_bambu,norte,7,11158716283,jan,14,Carlos,umida,26.18
Unidade B,out/2024,alergia,62,83,manhã,21.7,não,oeste,4,dispersos,azul_cobalto,azul_cobalto,não,café,nenhuma,azul_bebe,cacto,norte,7,80247620504,jul,8,Bianca,seca,42.03
Unidade D,abr/2024,hormonal,56,39,tarde,19.6,não,oeste,3,em_L,grafite,amarela,não,lavanda,pagode_90s,verde_limao,samambaia,leste,9,94417247909,abr,6,1234,controlada,37.39
Unidade D,out/2024,genético,57,54,tarde,19.4,não,leste,1,em_L,vinho,azul_cobalto,não,café,nenhuma,vinho,cacto,oeste,6,23855336136,out,17,Carlos,controlada,45.76
Unidade E,ago/2025,sangue,58,65,tarde,25.7,não,sul,4,lado_a_lado,verde,roxa,não,nenhum,jazz,verde_limao,cacto,oeste,12,56925767430,jun,23,Marcos,controlada,26.28
Unidade A,mar/2024,sangue,41,67,tarde,22.1,não,oeste,2,lado_a_lado,azul,laranja,não,nenhum,jazz,branco,cacto,nenhuma,8,18830618611,dez,23,Nina,climatizada,23.52
Unidade D,jun/2025,imagem,52,76,noite,,não,leste,3,em_L,amarela,laranja,não,eucalipto,jazz,azul_bebe,vaso_bambu,sul,8,13302337468,jul,31,Julia,umida,37.97
Unidade A,fev/2025,sangue,66,68,noite,17.6,não,norte,1,lado_a_lado,grafite,amarela,não,café,jazz,branco,vaso_bambu,nenhuma,6,15698164725,jun,7,Bianca,seca,24.54
Unidade F,out/2024,imagem,39,60,manhã,16.0,sim,oeste,2,lado_a_lado,cinza,laranja,não,nenhum,jazz,verde_limao,vaso_bambu,nenhuma,10,29009808872,ago,12,Nina,climatizada,38.06
Unidade F,mar/2024,imagem,69,50,tarde,11.4,sim,oeste,4,dispersos,azul,verde,não,eucalipto,jazz,verde_limao,cacto,leste,6,29201729602,dez,1,1234,seca,42.89
Unidade C,nov/2024,hormonal,54,46,manhã,16.2,não,oeste,4,lado_a_lado,azul,laranja,não,café,rock,branco,cacto,norte,9,97864023933,ago,31,Nina,seca,29.4
